Year,Grand Prix,Date,Winner,Car,Laps
1983,Monaco,1983-05-15,Keke RosbergROS,Williams Ford,76
1983,Belgium,1983-05-22,Alain ProstPRO,Renault,40
1983,Detroit,05 Jun 1983,Michele AlboretoALB,Tyrrell Ford,60
1983,Canada,12 Jun 1983,Rene ArnouxARN,Ferrari,70
1983,Great Britain,16 Jul 1983,Alain ProstPRO,Renault,67
1983,Germany,07 Aug 1983,Rene ArnouxARN,Ferrari,45
1983,Austria,14 Aug 1983,Alain ProstPRO,Renault,53
1983,Netherlands,28 Aug 1983,Rene ArnouxARN,Ferrari,72
1983,Italy,11 Sep 1983,Nelson PiquetPIQ,Brabham BMW,52
1983,Europe,25 Sep 1983,Nelson PiquetPIQ,Brabham BMW,76
1983,South Africa,15 Oct 1983,Riccardo PatresePAT,Brabham BMW,77
1984,Brazil,25 Mar 1984,Alain ProstPRO,McLaren TAG,61
1984,South Africa,07 Apr 1984,Niki LaudaLAU,McLaren TAG,75
1984,Belgium,29 Apr 1984,Michele AlboretoALB,Ferrari,70
1984,San Marino,1984-05-06,Alain ProstPRO,McLaren TAG,60
1984,France,1984-05-20,Niki LaudaLAU,McLaren TAG,79
1984,Monaco,03 Jun 1984,Alain ProstPRO,McLaren TAG,31
1984,Canada,17 Jun 1984,Nelson PiquetPIQ,Brabham BMW,70
1984,Detroit,24 Jun 1984,Nelson PiquetPIQ,Brabham BMW,63
1984,Dallas,08 Jul 1984,Keke RosbergROS,Williams Honda,67
1984,Great Britain,22 Jul 1984,Niki LaudaLAU,McLaren TAG,71
1984,Germany,05 Aug 1984,Alain ProstPRO,McLaren TAG,44
1984,Austria,19 Aug 1984,Niki LaudaLAU,McLaren TAG,51
1984,Netherlands,26 Aug 1984,Alain ProstPRO,McLaren TAG,71
1984,Italy,09 Sep 1984,Niki LaudaLAU,McLaren TAG,51
1984,Europe,07 Oct 1984,Alain ProstPRO,McLaren TAG,67
1984,Portugal,21 Oct 1984,Alain ProstPRO,McLaren TAG,70
1985,Brazil,07 Apr 1985,Alain ProstPRO,McLaren TAG,61
1985,Portugal,21 Apr 1985,Ayrton SennaSEN,Lotus Renault,67
1985,San Marino,1985-05-05,Elio de AngelisDEA,Lotus Renault,60
1985,Monaco,1985-05-19,Alain ProstPRO,McLaren TAG,78
1985,Canada,16 Jun 1985,Michele AlboretoALB,Ferrari,70
1985,Detroit,23 Jun 1985,Keke RosbergROS,Williams Honda,63
1985,France,07 Jul 1985,Nelson PiquetPIQ,Brabham BMW,53
1985,Great Britain,21 Jul 1985,Alain ProstPRO,McLaren TAG,65
1985,Germany,04 Aug 1985,Michele AlboretoALB,Ferrari,67
1985,Austria,18 Aug 1985,Alain ProstPRO,McLaren TAG,52
1985,Netherlands,25 Aug 1985,Niki LaudaLAU,McLaren TAG,70
1985,Italy,08 Sep 1985,Alain ProstPRO,McLaren TAG,51
1985,Belgium,15 Sep 1985,Ayrton SennaSEN,Lotus Renault,43
1985,Europe,06 Oct 1985,Nigel MansellMAN,Williams Honda,75
1985,South Africa,19 Oct 1985,Nigel MansellMAN,Williams Honda,75
1985,Australia,03 Nov 1985,Keke RosbergROS,Williams Honda,82
1986,Brazil,23 Mar 1986,Nelson PiquetPIQ,Williams Honda,61
1986,Spain,13 Apr 1986,Ayrton SennaSEN,Lotus Renault,72
1986,San Marino,27 Apr 1986,Alain ProstPRO,McLaren TAG,60
1986,Monaco,1986-05-11,Alain ProstPRO,McLaren TAG,78
1986,Belgium,1986-05-25,Nigel MansellMAN,Williams Honda,43
1986,Canada,15 Jun 1986,Nigel MansellMAN,Williams Honda,69
1986,Detroit,22 Jun 1986,Ayrton SennaSEN,Lotus Renault,63
1986,France,06 Jul 1986,Nigel MansellMAN,Williams Honda,80
1986,Great Britain,13 Jul 1986,Nigel MansellMAN,Williams Honda,75
1986,Germany,27 Jul 1986,Nelson PiquetPIQ,Williams Honda,44
1986,Hungary,10 Aug 1986,Nelson PiquetPIQ,Williams Honda,76
1986,Austria,17 Aug 1986,Alain ProstPRO,McLaren TAG,52
1986,Italy,07 Sep 1986,Nelson PiquetPIQ,Williams Honda,51
1986,Portugal,21 Sep 1986,Nigel MansellMAN,Williams Honda,70
1986,Mexico,12 Oct 1986,Gerhard BergerBER,Benetton BMW,68
1986,Australia,26 Oct 1986,Alain ProstPRO,McLaren TAG,82
1987,Brazil,12 Apr 1987,Alain ProstPRO,McLaren TAG,61
1987,San Marino,1987-05-03,Nigel MansellMAN,Williams Honda,59
1987,Belgium,1987-05-17,Alain ProstPRO,McLaren TAG,43
1987,Monaco,1987-05-31,Ayrton SennaSEN,Lotus Honda,78
1987,Detroit,21 Jun 1987,Ayrton SennaSEN,Lotus Honda,63
1987,France,05 Jul 1987,Nigel MansellMAN,Williams Honda,80
1987,Great Britain,12 Jul 1987,Nigel MansellMAN,Williams Honda,65
1987,Germany,26 Jul 1987,Nelson PiquetPIQ,Williams Honda,44
1987,Hungary,09 Aug 1987,Nelson PiquetPIQ,Williams Honda,76
1987,Austria,16 Aug 1987,Nigel MansellMAN,Williams Honda,52
1987,Italy,06 Sep 1987,Nelson PiquetPIQ,Williams Honda,50
1987,Portugal,20 Sep 1987,Alain ProstPRO,McLaren TAG,70
1987,Spain,27 Sep 1987,Nigel MansellMAN,Williams Honda,72
1987,Mexico,18 Oct 1987,Nigel MansellMAN,Williams Honda,63
1987,Japan,01 Nov 1987,Gerhard BergerBER,Ferrari,51
1987,Australia,15 Nov 1987,Gerhard BergerBER,Ferrari,82
1988,Brazil,03 Apr 1988,Alain ProstPRO,McLaren Honda,60
1988,San Marino,1988-05-01,Ayrton SennaSEN,McLaren Honda,60
1988,Monaco,1988-05-15,Alain ProstPRO,McLaren Honda,78
1988,Mexico,1988-05-29,Alain ProstPRO,McLaren Honda,67
1988,Canada,12 Jun 1988,Ayrton SennaSEN,McLaren Honda,69
1988,Detroit,19 Jun 1988,Ayrton SennaSEN,McLaren Honda,63
1988,France,03 Jul 1988,Alain ProstPRO,McLaren Honda,80
1988,Great Britain,10 Jul 1988,Ayrton SennaSEN,McLaren Honda,65
1988,Germany,24 Jul 1988,Ayrton SennaSEN,McLaren Honda,44
1988,Hungary,07 Aug 1988,Ayrton SennaSEN,McLaren Honda,76
1988,Belgium,28 Aug 1988,Ayrton SennaSEN,McLaren Honda,43
1988,Italy,11 Sep 1988,Gerhard BergerBER,Ferrari,51
1988,Portugal,25 Sep 1988,Alain ProstPRO,McLaren Honda,70
1988,Spain,02 Oct 1988,Alain ProstPRO,McLaren Honda,72
1988,Japan,30 Oct 1988,Ayrton SennaSEN,McLaren Honda,51
1988,Australia,13 Nov 1988,Alain ProstPRO,McLaren Honda,82
1989,Brazil,26 Mar 1989,Nigel MansellMAN,Ferrari,61
1989,San Marino,23 Apr 1989,Ayrton SennaSEN,McLaren Honda,58
1989,Monaco,1989-05-07,Ayrton SennaSEN,McLaren Honda,77
1989,Mexico,1989-05-28,Ayrton SennaSEN,McLaren Honda,69
1989,United States,04 Jun 1989,Alain ProstPRO,McLaren Honda,75
1989,Canada,18 Jun 1989,Thierry BoutsenBOU,Williams Renault,69
1989,France,09 Jul 1989,Alain ProstPRO,McLaren Honda,80
1989,Great Britain,16 Jul 1989,Alain ProstPRO,McLaren Honda,64
1989,Germany,30 Jul 1989,Ayrton SennaSEN,McLaren Honda,45
1989,Hungary,13 Aug 1989,Nigel MansellMAN,Ferrari,77
1989,Belgium,27 Aug 1989,Ayrton SennaSEN,McLaren Honda,44
1989,Italy,10 Sep 1989,Alain ProstPRO,McLaren Honda,53
1989,Portugal,24 Sep 1989,Gerhard BergerBER,Ferrari,71
1989,Spain,01 Oct 1989,Ayrton SennaSEN,McLaren Honda,72
1989,Japan,22 Oct 1989,Alessandro NanniniNAN,Benetton Ford,53
1989,Australia,05 Nov 1989,Thierry BoutsenBOU,Williams Renault,70
1990,United States,11 Mar 1990,Ayrton SennaSEN,McLaren Honda,72
1990,Brazil,25 Mar 1990,Alain ProstPRO,Ferrari,71
1990,San Marino,1990-05-13,Riccardo PatresePAT,Williams Renault,61
1990,Monaco,1990-05-27,Ayrton SennaSEN,McLaren Honda,78
1990,Canada,10 Jun 1990,Ayrton SennaSEN,McLaren Honda,70
1990,Mexico,24 Jun 1990,Alain ProstPRO,Ferrari,69
1990,France,08 Jul 1990,Alain ProstPRO,Ferrari,80
1990,Great Britain,15 Jul 1990,Alain ProstPRO,Ferrari,64
1990,Germany,29 Jul 1990,Ayrton SennaSEN,McLaren Honda,45
1990,Hungary,12 Aug 1990,Thierry BoutsenBOU,Williams Renault,77
1990,Belgium,26 Aug 1990,Ayrton SennaSEN,McLaren Honda,44
1990,Italy,09 Sep 1990,Ayrton SennaSEN,McLaren Honda,53
1990,Portugal,23 Sep 1990,Nigel MansellMAN,Ferrari,61
1990,Spain,30 Sep 1990,Alain ProstPRO,Ferrari,73
1990,Japan,21 Oct 1990,Nelson PiquetPIQ,Benetton Ford,53
1990,Australia,04 Nov 1990,Nelson PiquetPIQ,Benetton Ford,81
1991,United States,10 Mar 1991,Ayrton SennaSEN,McLaren Honda,81
1991,Brazil,24 Mar 1991,Ayrton SennaSEN,McLaren Honda,71
1991,San Marino,28 Apr 1991,Ayrton SennaSEN,McLaren Honda,61
1991,Monaco,1991-05-12,Ayrton SennaSEN,McLaren Honda,78
1991,Canada,02 Jun 1991,Nelson PiquetPIQ,Benetton Ford,69
1991,Mexico,16 Jun 1991,Riccardo PatresePAT,Williams Renault,67
1991,France,07 Jul 1991,Nigel MansellMAN,Williams Renault,72
1991,Great Britain,14 Jul 1991,Nigel MansellMAN,Williams Renault,59
1991,Germany,28 Jul 1991,Nigel MansellMAN,Williams Renault,45
1991,Hungary,11 Aug 1991,Ayrton SennaSEN,McLaren Honda,77
1991,Belgium,25 Aug 1991,Ayrton SennaSEN,McLaren Honda,44
1991,Italy,08 Sep 1991,Nigel MansellMAN,Williams Renault,53
1991,Portugal,22 Sep 1991,Riccardo PatresePAT,Williams Renault,71
1991,Spain,29 Sep 1991,Nigel MansellMAN,Williams Renault,65
1991,Japan,20 Oct 1991,Gerhard BergerBER,McLaren Honda,53
1991,Australia,03 Nov 1991,Ayrton SennaSEN,McLaren Honda,14
1992,South Africa,01 Mar 1992,Nigel MansellMAN,Williams Renault,72
1992,Mexico,22 Mar 1992,Nigel MansellMAN,Williams Renault,69
1992,Brazil,05 Apr 1992,Nigel MansellMAN,Williams Renault,71
1992,Spain,1992-05-03,Nigel MansellMAN,Williams Renault,65
1992,San Marino,1992-05-17,Nigel MansellMAN,Williams Renault,60
1992,Monaco,1992-05-31,Ayrton SennaSEN,McLaren Honda,78
1992,Canada,14 Jun 1992,Gerhard BergerBER,McLaren Honda,69
1992,France,05 Jul 1992,Nigel MansellMAN,Williams Renault,69
1992,Great Britain,12 Jul 1992,Nigel MansellMAN,Williams Renault,59
1992,Germany,26 Jul 1992,Nigel MansellMAN,Williams Renault,45
1992,Hungary,16 Aug 1992,Ayrton SennaSEN,McLaren Honda,77
1992,Belgium,30 Aug 1992,Michael SchumacherMSC,Benetton Ford,44
1992,Italy,13 Sep 1992,Ayrton SennaSEN,McLaren Honda,53
1992,Portugal,27 Sep 1992,Nigel MansellMAN,Williams Renault,71
1992,Japan,25 Oct 1992,Riccardo PatresePAT,Williams Renault,53
1992,Australia,08 Nov 1992,Gerhard BergerBER,McLaren Honda,82
1993,South Africa,14 Mar 1993,Alain ProstPRO,Williams Renault,72
1993,Brazil,28 Mar 1993,Ayrton SennaSEN,McLaren Ford,71
1993,Europe,11 Apr 1993,Ayrton SennaSEN,McLaren Ford,76
1993,San Marino,25 Apr 1993,Alain ProstPRO,Williams Renault,61
1993,Spain,1993-05-09,Alain ProstPRO,Williams Renault,65
1993,Monaco,1993-05-23,Ayrton SennaSEN,McLaren Ford,78
1993,Canada,13 Jun 1993,Alain ProstPRO,Williams Renault,69
1993,France,04 Jul 1993,Alain ProstPRO,Williams Renault,72
1993,Great Britain,11 Jul 1993,Alain ProstPRO,Williams Renault,59
1993,Germany,25 Jul 1993,Alain ProstPRO,Williams Renault,45
1993,Hungary,15 Aug 1993,Damon HillHIL,Williams Renault,77
1993,Belgium,29 Aug 1993,Damon HillHIL,Williams Renault,44
1993,Italy,12 Sep 1993,Damon HillHIL,Williams Renault,53
1993,Portugal,26 Sep 1993,Michael SchumacherMSC,Benetton Ford,71
1993,Japan,24 Oct 1993,Ayrton SennaSEN,McLaren Ford,53
1993,Australia,07 Nov 1993,Ayrton SennaSEN,McLaren Ford,79
1994,Brazil,27 Mar 1994,Michael SchumacherMSC,Benetton Ford,71
1994,Pacific,17 Apr 1994,Michael SchumacherMSC,Benetton Ford,83
1994,San Marino,1994-05-01,Michael SchumacherMSC,Benetton Ford,58
1994,Monaco,1994-05-15,Michael SchumacherMSC,Benetton Ford,78
1994,Spain,1994-05-29,Damon HillHIL,Williams Renault,65
1994,Canada,12 Jun 1994,Michael SchumacherMSC,Benetton Ford,69
1994,France,03 Jul 1994,Michael SchumacherMSC,Benetton Ford,72
1994,Great Britain,10 Jul 1994,Damon HillHIL,Williams Renault,60
1994,Germany,31 Jul 1994,Gerhard BergerBER,Ferrari,45
1994,Hungary,14 Aug 1994,Michael SchumacherMSC,Benetton Ford,77
1994,Belgium,28 Aug 1994,Damon HillHIL,Williams Renault,44
1994,Italy,11 Sep 1994,Damon HillHIL,Williams Renault,53
1994,Portugal,25 Sep 1994,Damon HillHIL,Williams Renault,71
1994,Europe,16 Oct 1994,Michael SchumacherMSC,Benetton Ford,69
1994,Japan,06 Nov 1994,Damon HillHIL,Williams Renault,50
1994,Australia,13 Nov 1994,Nigel MansellMAN,Williams Renault,81
1995,Brazil,26 Mar 1995,Michael SchumacherMSC,Benetton Renault,71
1995,Argentina,09 Apr 1995,Damon HillHIL,Williams Renault,71
1995,San Marino,30 Apr 1995,Damon HillHIL,Williams Renault,63
1995,Spain,1995-05-14,Michael SchumacherMSC,Benetton Renault,65
1995,Monaco,1995-05-28,Michael SchumacherMSC,Benetton Renault,78
1995,Canada,11 Jun 1995,Jean AlesiALE,Ferrari,69
1995,France,02 Jul 1995,Michael SchumacherMSC,Benetton Renault,72
1995,Great Britain,16 Jul 1995,Johnny HerbertHER,Benetton Renault,61
1995,Germany,30 Jul 1995,Michael SchumacherMSC,Benetton Renault,45
1995,Hungary,13 Aug 1995,Damon HillHIL,Williams Renault,77
1995,Belgium,27 Aug 1995,Michael SchumacherMSC,Benetton Renault,44
1995,Italy,10 Sep 1995,Johnny HerbertHER,Benetton Renault,53
1995,Portugal,24 Sep 1995,David CoulthardCOU,Williams Renault,71
1995,Europe,01 Oct 1995,Michael SchumacherMSC,Benetton Renault,67
1995,Pacific,22 Oct 1995,Michael SchumacherMSC,Benetton Renault,83
1995,Japan,29 Oct 1995,Michael SchumacherMSC,Benetton Renault,53
1995,Australia,12 Nov 1995,Damon HillHIL,Williams Renault,81
1996,Australia,10 Mar 1996,Damon HillHIL,Williams Renault,58
1996,Brazil,31 Mar 1996,Damon HillHIL,Williams Renault,71
1996,Argentina,07 Apr 1996,Damon HillHIL,Williams Renault,72
1996,Europe,28 Apr 1996,Jacques VilleneuveVIL,Williams Renault,67
1996,San Marino,1996-05-05,Damon HillHIL,Williams Renault,63
1996,Monaco,1996-05-19,Olivier PanisPAN,Ligier Mugen Honda,75
1996,Spain,02 Jun 1996,Michael SchumacherMSC,Ferrari,65
1996,Canada,16 Jun 1996,Damon HillHIL,Williams Renault,69
1996,France,30 Jun 1996,Damon HillHIL,Williams Renault,72
1996,Great Britain,14 Jul 1996,Jacques VilleneuveVIL,Williams Renault,61
1996,Germany,28 Jul 1996,Damon HillHIL,Williams Renault,45
1996,Hungary,11 Aug 1996,Jacques VilleneuveVIL,Williams Renault,77
1996,Belgium,25 Aug 1996,Michael SchumacherMSC,Ferrari,44
1996,Italy,08 Sep 1996,Michael SchumacherMSC,Ferrari,53
1996,Portugal,22 Sep 1996,Jacques VilleneuveVIL,Williams Renault,70
1996,Japan,13 Oct 1996,Damon HillHIL,Williams Renault,52
1997,Australia,09 Mar 1997,David CoulthardCOU,McLaren Mercedes,58
1997,Brazil,30 Mar 1997,Jacques VilleneuveVIL,Williams Renault,72
1997,Argentina,13 Apr 1997,Jacques VilleneuveVIL,Williams Renault,72
1997,San Marino,27 Apr 1997,Heinz-Harald FrentzenFRE,Williams Renault,62
1997,Monaco,1997-05-11,Michael SchumacherMSC,Ferrari,62
1997,Spain,1997-05-25,Jacques VilleneuveVIL,Williams Renault,64
1997,Canada,15 Jun 1997,Michael SchumacherMSC,Ferrari,54
1997,France,29 Jun 1997,Michael SchumacherMSC,Ferrari,72
1997,Great Britain,13 Jul 1997,Jacques VilleneuveVIL,Williams Renault,59
1997,Germany,27 Jul 1997,Gerhard BergerBER,Benetton Renault,45
1997,Hungary,10 Aug 1997,Jacques VilleneuveVIL,Williams Renault,77
1997,Belgium,24 Aug 1997,Michael SchumacherMSC,Ferrari,44
1997,Italy,07 Sep 1997,David CoulthardCOU,McLaren Mercedes,53
1997,Austria,21 Sep 1997,Jacques VilleneuveVIL,Williams Renault,71
1997,Luxembourg,28 Sep 1997,Jacques VilleneuveVIL,Williams Renault,67
1997,Japan,12 Oct 1997,Michael SchumacherMSC,Ferrari,53
1997,Europe,26 Oct 1997,Mika HakkinenHAK,McLaren Mercedes,69
1998,Australia,08 Mar 1998,Mika HakkinenHAK,McLaren Mercedes,58
1998,Brazil,29 Mar 1998,Mika HakkinenHAK,McLaren Mercedes,72
1998,Argentina,12 Apr 1998,Michael SchumacherMSC,Ferrari,72
1998,San Marino,26 Apr 1998,David CoulthardCOU,McLaren Mercedes,62
1998,Spain,1998-05-10,Mika HakkinenHAK,McLaren Mercedes,65
1998,Monaco,1998-05-24,Mika HakkinenHAK,McLaren Mercedes,78
1998,Canada,07 Jun 1998,Michael SchumacherMSC,Ferrari,69
1998,France,28 Jun 1998,Michael SchumacherMSC,Ferrari,71
1998,Great Britain,12 Jul 1998,Michael SchumacherMSC,Ferrari,60
1998,Austria,26 Jul 1998,Mika HakkinenHAK,McLaren Mercedes,71
1998,Germany,02 Aug 1998,Mika HakkinenHAK,McLaren Mercedes,45
1998,Hungary,16 Aug 1998,Michael SchumacherMSC,Ferrari,77
1998,Belgium,30 Aug 1998,Damon HillHIL,Jordan Mugen Honda,44
1998,Italy,13 Sep 1998,Michael SchumacherMSC,Ferrari,53
1998,Luxembourg,27 Sep 1998,Mika HakkinenHAK,McLaren Mercedes,67
1998,Japan,01 Nov 1998,Mika HakkinenHAK,McLaren Mercedes,51
1999,Australia,07 Mar 1999,Eddie IrvineIRV,Ferrari,57
1999,Brazil,11 Apr 1999,Mika HakkinenHAK,McLaren Mercedes,72
1999,San Marino,1999-05-02,Michael SchumacherMSC,Ferrari,62
1999,Monaco,1999-05-16,Michael SchumacherMSC,Ferrari,78
1999,Spain,1999-05-30,Mika HakkinenHAK,McLaren Mercedes,65
1999,Canada,13 Jun 1999,Mika HakkinenHAK,McLaren Mercedes,69
1999,France,27 Jun 1999,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,72
1999,Great Britain,11 Jul 1999,David CoulthardCOU,McLaren Mercedes,60
1999,Austria,25 Jul 1999,Eddie IrvineIRV,Ferrari,71
1999,Germany,01 Aug 1999,Eddie IrvineIRV,Ferrari,45
1999,Hungary,15 Aug 1999,Mika HakkinenHAK,McLaren Mercedes,77
1999,Belgium,29 Aug 1999,David CoulthardCOU,McLaren Mercedes,44
1999,Italy,12 Sep 1999,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,53
1999,Europe,26 Sep 1999,Johnny HerbertHER,Stewart Ford,66
1999,Malaysia,17 Oct 1999,Eddie IrvineIRV,Ferrari,56
1999,Japan,31 Oct 1999,Mika HakkinenHAK,McLaren Mercedes,53
2000,Australia,12 Mar 2000,Michael SchumacherMSC,Ferrari,58
2000,Brazil,26 Mar 2000,Michael SchumacherMSC,Ferrari,71
2000,San Marino,09 Apr 2000,Michael SchumacherMSC,Ferrari,62
2000,Great Britain,23 Apr 2000,David CoulthardCOU,McLaren Mercedes,60
2000,Spain,2000-05-07,Mika HakkinenHAK,McLaren Mercedes,65
2000,Europe,2000-05-21,Michael SchumacherMSC,Ferrari,67
2000,Monaco,04 Jun 2000,David CoulthardCOU,McLaren Mercedes,78
2000,Canada,18 Jun 2000,Michael SchumacherMSC,Ferrari,69
2000,France,02 Jul 2000,David CoulthardCOU,McLaren Mercedes,72
2000,Austria,16 Jul 2000,Mika HakkinenHAK,McLaren Mercedes,71
2000,Germany,30 Jul 2000,Rubens BarrichelloBAR,Ferrari,45
2000,Hungary,13 Aug 2000,Mika HakkinenHAK,McLaren Mercedes,77
2000,Belgium,27 Aug 2000,Mika HakkinenHAK,McLaren Mercedes,44
2000,Italy,10 Sep 2000,Michael SchumacherMSC,Ferrari,53
2000,United States,24 Sep 2000,Michael SchumacherMSC,Ferrari,73
2000,Japan,08 Oct 2000,Michael SchumacherMSC,Ferrari,53
2000,Malaysia,22 Oct 2000,Michael SchumacherMSC,Ferrari,56
2001,Australia,04 Mar 2001,Michael SchumacherMSC,Ferrari,58
2001,Malaysia,18 Mar 2001,Michael SchumacherMSC,Ferrari,55
2001,Brazil,01 Apr 2001,David CoulthardCOU,McLaren Mercedes,71
2001,San Marino,15 Apr 2001,Ralf SchumacherRSC,Williams BMW,62
2001,Spain,29 Apr 2001,Michael SchumacherMSC,Ferrari,65
2001,Austria,2001-05-13,David CoulthardCOU,McLaren Mercedes,71
2001,Monaco,2001-05-27,Michael SchumacherMSC,Ferrari,78
2001,Canada,10 Jun 2001,Ralf SchumacherRSC,Williams BMW,69
2001,Europe,24 Jun 2001,Michael SchumacherMSC,Ferrari,67
2001,France,01 Jul 2001,Michael SchumacherMSC,Ferrari,72
2001,Great Britain,15 Jul 2001,Mika HakkinenHAK,McLaren Mercedes,60
2001,Germany,29 Jul 2001,Ralf SchumacherRSC,Williams BMW,45
2001,Hungary,19 Aug 2001,Michael SchumacherMSC,Ferrari,77
2001,Belgium,02 Sep 2001,Michael SchumacherMSC,Ferrari,36
2001,Italy,16 Sep 2001,Juan Pablo MontoyaMOY,Williams BMW,53
2001,United States,30 Sep 2001,Mika HakkinenHAK,McLaren Mercedes,73
2001,Japan,14 Oct 2001,Michael SchumacherMSC,Ferrari,53
2002,Australia,03 Mar 2002,Michael SchumacherMSC,Ferrari,58
2002,Malaysia,17 Mar 2002,Ralf SchumacherRSC,Williams BMW,56
2002,Brazil,31 Mar 2002,Michael SchumacherMSC,Ferrari,71
2002,San Marino,14 Apr 2002,Michael SchumacherMSC,Ferrari,62
2002,Spain,28 Apr 2002,Michael SchumacherMSC,Ferrari,65
2002,Austria,2002-05-12,Michael SchumacherMSC,Ferrari,71
2002,Monaco,2002-05-26,David CoulthardCOU,McLaren Mercedes,78
2002,Canada,09 Jun 2002,Michael SchumacherMSC,Ferrari,70
2002,Europe,23 Jun 2002,Rubens BarrichelloBAR,Ferrari,60
2002,Great Britain,07 Jul 2002,Michael SchumacherMSC,Ferrari,60
2002,France,21 Jul 2002,Michael SchumacherMSC,Ferrari,72
2002,Germany,28 Jul 2002,Michael SchumacherMSC,Ferrari,67
2002,Hungary,18 Aug 2002,Rubens BarrichelloBAR,Ferrari,77
2002,Belgium,01 Sep 2002,Michael SchumacherMSC,Ferrari,44
2002,Italy,15 Sep 2002,Rubens BarrichelloBAR,Ferrari,53
2002,United States,29 Sep 2002,Rubens BarrichelloBAR,Ferrari,73
2002,Japan,13 Oct 2002,Michael SchumacherMSC,Ferrari,53
2003,Australia,09 Mar 2003,David CoulthardCOU,McLaren Mercedes,58
2003,Malaysia,23 Mar 2003,Kimi RäikkönenRAI,McLaren Mercedes,56
2003,Brazil,06 Apr 2003,Giancarlo FisichellaFIS,Jordan Ford,54
2003,San Marino,20 Apr 2003,Michael SchumacherMSC,Ferrari,62
2003,Spain,2003-05-04,Michael SchumacherMSC,Ferrari,65
2003,Austria,2003-05-18,Michael SchumacherMSC,Ferrari,69
2003,Monaco,01 Jun 2003,Juan Pablo MontoyaMOY,Williams BMW,78
2003,Canada,15 Jun 2003,Michael SchumacherMSC,Ferrari,70
2003,Europe,29 Jun 2003,Ralf SchumacherRSC,Williams BMW,60
2003,France,06 Jul 2003,Ralf SchumacherRSC,Williams BMW,70
2003,Great Britain,20 Jul 2003,Rubens BarrichelloBAR,Ferrari,60
2003,Germany,03 Aug 2003,Juan Pablo MontoyaMOY,Williams BMW,67
2003,Hungary,24 Aug 2003,Fernando AlonsoALO,Renault,70
2003,Italy,14 Sep 2003,Michael SchumacherMSC,Ferrari,53
2003,United States,28 Sep 2003,Michael SchumacherMSC,Ferrari,73
2003,Japan,12 Oct 2003,Rubens BarrichelloBAR,Ferrari,53
2004,Australia,07 Mar 2004,Michael SchumacherMSC,Ferrari,58
2004,Malaysia,21 Mar 2004,Michael SchumacherMSC,Ferrari,56
2004,Bahrain,04 Apr 2004,Michael SchumacherMSC,Ferrari,57
2004,San Marino,25 Apr 2004,Michael SchumacherMSC,Ferrari,62
2004,Spain,2004-05-09,Michael SchumacherMSC,Ferrari,66
2004,Monaco,2004-05-23,Jarno TrulliTRU,Renault,77
2004,Europe,2004-05-30,Michael SchumacherMSC,Ferrari,60
2004,Canada,13 Jun 2004,Michael SchumacherMSC,Ferrari,70
2004,United States,20 Jun 2004,Michael SchumacherMSC,Ferrari,73
2004,France,04 Jul 2004,Michael SchumacherMSC,Ferrari,70
2004,Great Britain,11 Jul 2004,Michael SchumacherMSC,Ferrari,60
2004,Germany,25 Jul 2004,Michael SchumacherMSC,Ferrari,66
2004,Hungary,15 Aug 2004,Michael SchumacherMSC,Ferrari,70
2004,Belgium,29 Aug 2004,Kimi RäikkönenRAI,McLaren Mercedes,44
2004,Italy,12 Sep 2004,Rubens BarrichelloBAR,Ferrari,53
2004,China,26 Sep 2004,Rubens BarrichelloBAR,Ferrari,56
2004,Japan,10 Oct 2004,Michael SchumacherMSC,Ferrari,53
2004,Brazil,24 Oct 2004,Juan Pablo MontoyaMOY,Williams BMW,71
2005,Australia,06 Mar 2005,Giancarlo FisichellaFIS,Renault,57
2005,Malaysia,20 Mar 2005,Fernando AlonsoALO,Renault,56
2005,Bahrain,03 Apr 2005,Fernando AlonsoALO,Renault,57
2005,San Marino,24 Apr 2005,Fernando AlonsoALO,Renault,62
2005,Spain,2005-05-08,Kimi RäikkönenRAI,McLaren Mercedes,66
2005,Monaco,2005-05-22,Kimi RäikkönenRAI,McLaren Mercedes,78
2005,Europe,2005-05-29,Fernando AlonsoALO,Renault,59
2005,Canada,12 Jun 2005,Kimi RäikkönenRAI,McLaren Mercedes,70
2005,United States,19 Jun 2005,Michael SchumacherMSC,Ferrari,73
2005,France,03 Jul 2005,Fernando AlonsoALO,Renault,70
2005,Great Britain,10 Jul 2005,Juan Pablo MontoyaMOY,McLaren Mercedes,60
2005,Germany,24 Jul 2005,Fernando AlonsoALO,Renault,67
2005,Hungary,31 Jul 2005,Kimi RäikkönenRAI,McLaren Mercedes,70
2005,Turkey,21 Aug 2005,Kimi RäikkönenRAI,McLaren Mercedes,58
2005,Italy,04 Sep 2005,Juan Pablo MontoyaMOY,McLaren Mercedes,53
2005,Belgium,11 Sep 2005,Kimi RäikkönenRAI,McLaren Mercedes,44
2005,Brazil,25 Sep 2005,Juan Pablo MontoyaMOY,McLaren Mercedes,71
2005,Japan,09 Oct 2005,Kimi RäikkönenRAI,McLaren Mercedes,53
2005,China,16 Oct 2005,Fernando AlonsoALO,Renault,56
2006,Bahrain,12 Mar 2006,Fernando AlonsoALO,Renault,57
2006,Malaysia,19 Mar 2006,Giancarlo FisichellaFIS,Renault,56
