Year,Position,Driver,Car,Laps,Points
1995,3,Charles LeclercLEC,Ferrari,58,15
1995,4,Lewis HamiltonHAM,Mercedes,58,12
1995,5,George RussellRUS,Mercedes,58,10
1995,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1995,7,Pierre GaslyGAS,Alpine Renault,58,6
1995,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1995,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1995,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1995,11,Alexander AlbonALB,Williams Mercedes,57,0
1995,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1995,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1995,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1995,15,Jack DoohanDOO,Alpine Renault,57,0
1995,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1995,17,Liam LawsonLAW,RB Honda RBPT,55,0
1995,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1995,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1995,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1996,1,Lando NorrisNOR,McLaren Mercedes,58,25
1996,2,Carlos SainzSAI,Ferrari,58,18
1996,3,Charles LeclercLEC,Ferrari,58,15
1996,4,Lewis HamiltonHAM,Mercedes,58,12
1996,5,George RussellRUS,Mercedes,58,10
1996,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1996,7,Pierre GaslyGAS,Alpine Renault,58,6
1996,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1996,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1996,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1996,11,Alexander AlbonALB,Williams Mercedes,57,0
1996,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1996,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1996,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1996,15,Jack DoohanDOO,Alpine Renault,57,0
1996,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1996,17,Liam LawsonLAW,RB Honda RBPT,55,0
1996,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1996,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1996,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1997,1,Lando NorrisNOR,McLaren Mercedes,58,25
1997,2,Carlos SainzSAI,Ferrari,58,18
1997,3,Charles LeclercLEC,Ferrari,58,15
1997,4,Lewis HamiltonHAM,Mercedes,58,12
1997,5,George RussellRUS,Mercedes,58,10
1997,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1997,7,Pierre GaslyGAS,Alpine Renault,58,6
1997,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1997,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1997,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1997,11,Alexander AlbonALB,Williams Mercedes,57,0
1997,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1997,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1997,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1997,15,Jack DoohanDOO,Alpine Renault,57,0
1997,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1997,17,Liam LawsonLAW,RB Honda RBPT,55,0
1997,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1997,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1997,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1998,1,Lando NorrisNOR,McLaren Mercedes,58,25
1998,2,Carlos SainzSAI,Ferrari,58,18
1998,3,Charles LeclercLEC,Ferrari,58,15
1998,4,Lewis HamiltonHAM,Mercedes,58,12
1998,5,George RussellRUS,Mercedes,58,10
1998,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1998,7,Pierre GaslyGAS,Alpine Renault,58,6
1998,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1998,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1998,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1998,11,Alexander AlbonALB,Williams Mercedes,57,0
1998,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1998,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1998,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1998,15,Jack DoohanDOO,Alpine Renault,57,0
1998,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1998,17,Liam LawsonLAW,RB Honda RBPT,55,0
1998,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1998,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1998,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1999,1,Lando NorrisNOR,McLaren Mercedes,58,25
1999,2,Carlos SainzSAI,Ferrari,58,18
1999,3,Charles LeclercLEC,Ferrari,58,15
1999,4,Lewis HamiltonHAM,Mercedes,58,12
1999,5,George RussellRUS,Mercedes,58,10
1999,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1999,7,Pierre GaslyGAS,Alpine Renault,58,6
1999,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1999,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1999,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1999,11,Alexander AlbonALB,Williams Mercedes,57,0
1999,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1999,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1999,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1999,15,Jack DoohanDOO,Alpine Renault,57,0
1999,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1999,17,Liam LawsonLAW,RB Honda RBPT,55,0
1999,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1999,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1999,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2000,1,Lando NorrisNOR,McLaren Mercedes,58,25
2000,2,Carlos SainzSAI,Ferrari,58,18
2000,3,Charles LeclercLEC,Ferrari,58,15
2000,4,Lewis HamiltonHAM,Mercedes,58,12
2000,5,George RussellRUS,Mercedes,58,10
2000,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2000,7,Pierre GaslyGAS,Alpine Renault,58,6
2000,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2000,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2000,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2000,11,Alexander AlbonALB,Williams Mercedes,57,0
2000,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2000,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2000,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2000,15,Jack DoohanDOO,Alpine Renault,57,0
2000,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2000,17,Liam LawsonLAW,RB Honda RBPT,55,0
2000,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2000,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2000,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2001,1,Lando NorrisNOR,McLaren Mercedes,58,25
2001,2,Carlos SainzSAI,Ferrari,58,18
2001,3,Charles LeclercLEC,Ferrari,58,15
2001,4,Lewis HamiltonHAM,Mercedes,58,12
2001,5,George RussellRUS,Mercedes,58,10
2001,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2001,7,Pierre GaslyGAS,Alpine Renault,58,6
2001,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2001,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2001,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2001,11,Alexander AlbonALB,Williams Mercedes,57,0
2001,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2001,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2001,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2001,15,Jack DoohanDOO,Alpine Renault,57,0
2001,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2001,17,Liam LawsonLAW,RB Honda RBPT,55,0
2001,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2001,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2001,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2002,1,Lando NorrisNOR,McLaren Mercedes,58,25
2002,2,Carlos SainzSAI,Ferrari,58,18
2002,3,Charles LeclercLEC,Ferrari,58,15
2002,4,Lewis HamiltonHAM,Mercedes,58,12
2002,5,George RussellRUS,Mercedes,58,10
2002,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2002,7,Pierre GaslyGAS,Alpine Renault,58,6
2002,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2002,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2002,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2002,11,Alexander AlbonALB,Williams Mercedes,57,0
2002,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2002,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2002,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2002,15,Jack DoohanDOO,Alpine Renault,57,0
2002,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2002,17,Liam LawsonLAW,RB Honda RBPT,55,0
2002,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2002,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2002,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2003,1,Lando NorrisNOR,McLaren Mercedes,58,25
2003,2,Carlos SainzSAI,Ferrari,58,18
2003,3,Charles LeclercLEC,Ferrari,58,15
2003,4,Lewis HamiltonHAM,Mercedes,58,12
2003,5,George RussellRUS,Mercedes,58,10
2003,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2003,7,Pierre GaslyGAS,Alpine Renault,58,6
2003,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2003,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2003,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2003,11,Alexander AlbonALB,Williams Mercedes,57,0
2003,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2003,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2003,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2003,15,Jack DoohanDOO,Alpine Renault,57,0
2003,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2003,17,Liam LawsonLAW,RB Honda RBPT,55,0
2003,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2003,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2003,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2004,1,Lando NorrisNOR,McLaren Mercedes,58,25
2004,2,Carlos SainzSAI,Ferrari,58,18
2004,3,Charles LeclercLEC,Ferrari,58,15
2004,4,Lewis HamiltonHAM,Mercedes,58,12
2004,5,George RussellRUS,Mercedes,58,10
2004,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2004,7,Pierre GaslyGAS,Alpine Renault,58,6
2004,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2004,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2004,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2004,11,Alexander AlbonALB,Williams Mercedes,57,0
2004,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2004,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2004,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2004,15,Jack DoohanDOO,Alpine Renault,57,0
2004,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2004,17,Liam LawsonLAW,RB Honda RBPT,55,0
2004,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2004,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2004,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2005,1,Lando NorrisNOR,McLaren Mercedes,58,25
2005,2,Carlos SainzSAI,Ferrari,58,18
2005,3,Charles LeclercLEC,Ferrari,58,15
2005,4,Lewis HamiltonHAM,Mercedes,58,12
2005,5,George RussellRUS,Mercedes,58,10
2005,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2005,7,Pierre GaslyGAS,Alpine Renault,58,6
2005,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2005,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2005,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2005,11,Alexander AlbonALB,Williams Mercedes,57,0
2005,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2005,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2005,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2005,15,Jack DoohanDOO,Alpine Renault,57,0
2005,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2005,17,Liam LawsonLAW,RB Honda RBPT,55,0
2005,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2005,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2005,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2006,1,Lando NorrisNOR,McLaren Mercedes,58,25
2006,2,Carlos SainzSAI,Ferrari,58,18
2006,3,Charles LeclercLEC,Ferrari,58,15
2006,4,Lewis HamiltonHAM,Mercedes,58,12
2006,5,George RussellRUS,Mercedes,58,10
2006,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2006,7,Pierre GaslyGAS,Alpine Renault,58,6
2006,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2006,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2006,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2006,11,Alexander AlbonALB,Williams Mercedes,57,0
2006,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2006,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2006,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2006,15,Jack DoohanDOO,Alpine Renault,57,0
2006,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2006,17,Liam LawsonLAW,RB Honda RBPT,55,0
2006,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2006,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2006,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2007,1,Lando NorrisNOR,McLaren Mercedes,58,25
2007,2,Carlos SainzSAI,Ferrari,58,18
2007,3,Charles LeclercLEC,Ferrari,58,15
2007,4,Lewis HamiltonHAM,Mercedes,58,12
2007,5,George RussellRUS,Mercedes,58,10
2007,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2007,7,Pierre GaslyGAS,Alpine Renault,58,6
2007,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2007,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2007,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2007,11,Alexander AlbonALB,Williams Mercedes,57,0
2007,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2007,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2007,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2007,15,Jack DoohanDOO,Alpine Renault,57,0
2007,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2007,17,Liam LawsonLAW,RB Honda RBPT,55,0
2007,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2007,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2007,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2008,1,Lando NorrisNOR,McLaren Mercedes,58,25
2008,2,Carlos SainzSAI,Ferrari,58,18
2008,3,Charles LeclercLEC,Ferrari,58,15
2008,4,Lewis HamiltonHAM,Mercedes,58,12
2008,5,George RussellRUS,Mercedes,58,10
2008,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2008,7,Pierre GaslyGAS,Alpine Renault,58,6
2008,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2008,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2008,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2008,11,Alexander AlbonALB,Williams Mercedes,57,0
2008,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2008,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2008,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2008,15,Jack DoohanDOO,Alpine Renault,57,0
2008,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2008,17,Liam LawsonLAW,RB Honda RBPT,55,0
2008,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2008,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2008,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2009,1,Lando NorrisNOR,McLaren Mercedes,58,25
2009,2,Carlos SainzSAI,Ferrari,58,18
2009,3,Charles LeclercLEC,Ferrari,58,15
2009,4,Lewis HamiltonHAM,Mercedes,58,12
2009,5,George RussellRUS,Mercedes,58,10
2009,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2009,7,Pierre GaslyGAS,Alpine Renault,58,6
2009,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2009,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2009,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2009,11,Alexander AlbonALB,Williams Mercedes,57,0
2009,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2009,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2009,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2009,15,Jack DoohanDOO,Alpine Renault,57,0
2009,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2009,17,Liam LawsonLAW,RB Honda RBPT,55,0
2009,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2009,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2009,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2010,1,Lando NorrisNOR,McLaren Mercedes,58,25
2010,2,Carlos SainzSAI,Ferrari,58,18
2010,3,Charles LeclercLEC,Ferrari,58,15
2010,4,Lewis HamiltonHAM,Mercedes,58,12
2010,5,George RussellRUS,Mercedes,58,10
2010,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2010,7,Pierre GaslyGAS,Alpine Renault,58,6
2010,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2010,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2010,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2010,11,Alexander AlbonALB,Williams Mercedes,57,0
2010,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2010,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2010,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2010,15,Jack DoohanDOO,Alpine Renault,57,0
2010,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2010,17,Liam LawsonLAW,RB Honda RBPT,55,0
2010,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2010,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2010,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2011,1,Lando NorrisNOR,McLaren Mercedes,58,25
2011,2,Carlos SainzSAI,Ferrari,58,18
2011,3,Charles LeclercLEC,Ferrari,58,15
2011,4,Lewis HamiltonHAM,Mercedes,58,12
2011,5,George RussellRUS,Mercedes,58,10
2011,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2011,7,Pierre GaslyGAS,Alpine Renault,58,6
2011,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2011,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2011,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2011,11,Alexander AlbonALB,Williams Mercedes,57,0
2011,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2011,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2011,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2011,15,Jack DoohanDOO,Alpine Renault,57,0
2011,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2011,17,Liam LawsonLAW,RB Honda RBPT,55,0
2011,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2011,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2011,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2012,1,Lando NorrisNOR,McLaren Mercedes,58,25
2012,2,Carlos SainzSAI,Ferrari,58,18
2012,3,Charles LeclercLEC,Ferrari,58,15
2012,4,Lewis HamiltonHAM,Mercedes,58,12
2012,5,George RussellRUS,Mercedes,58,10
2012,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2012,7,Pierre GaslyGAS,Alpine Renault,58,6
2012,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2012,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2012,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2012,11,Alexander AlbonALB,Williams Mercedes,57,0
2012,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2012,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2012,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2012,15,Jack DoohanDOO,Alpine Renault,57,0
2012,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2012,17,Liam LawsonLAW,RB Honda RBPT,55,0
2012,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2012,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2012,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2013,1,Lando NorrisNOR,McLaren Mercedes,58,25
2013,2,Carlos SainzSAI,Ferrari,58,18
2013,3,Charles LeclercLEC,Ferrari,58,15
2013,4,Lewis HamiltonHAM,Mercedes,58,12
2013,5,George RussellRUS,Mercedes,58,10
2013,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2013,7,Pierre GaslyGAS,Alpine Renault,58,6
2013,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2013,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2013,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2013,11,Alexander AlbonALB,Williams Mercedes,57,0
2013,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2013,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2013,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2013,15,Jack DoohanDOO,Alpine Renault,57,0
2013,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2013,17,Liam LawsonLAW,RB Honda RBPT,55,0
2013,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2013,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2013,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2014,1,Lando NorrisNOR,McLaren Mercedes,58,25
2014,2,Carlos SainzSAI,Ferrari,58,18
2014,3,Charles LeclercLEC,Ferrari,58,15
2014,4,Lewis HamiltonHAM,Mercedes,58,12
2014,5,George RussellRUS,Mercedes,58,10
2014,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2014,7,Pierre GaslyGAS,Alpine Renault,58,6
2014,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2014,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2014,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2014,11,Alexander AlbonALB,Williams Mercedes,57,0
2014,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2014,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2014,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2014,15,Jack DoohanDOO,Alpine Renault,57,0
2014,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2014,17,Liam LawsonLAW,RB Honda RBPT,55,0
2014,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2014,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2014,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2015,1,Lando NorrisNOR,McLaren Mercedes,58,25
2015,2,Carlos SainzSAI,Ferrari,58,18
2015,3,Charles LeclercLEC,Ferrari,58,15
2015,4,Lewis HamiltonHAM,Mercedes,58,12
2015,5,George RussellRUS,Mercedes,58,10
2015,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2015,7,Pierre GaslyGAS,Alpine Renault,58,6
2015,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2015,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2015,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2015,11,Alexander AlbonALB,Williams Mercedes,57,0
2015,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2015,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2015,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2015,15,Jack DoohanDOO,Alpine Renault,57,0
2015,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2015,17,Liam LawsonLAW,RB Honda RBPT,55,0
2015,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2015,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2015,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2016,1,Lando NorrisNOR,McLaren Mercedes,58,25
2016,2,Carlos SainzSAI,Ferrari,58,18
2016,3,Charles LeclercLEC,Ferrari,58,15
2016,4,Lewis HamiltonHAM,Mercedes,58,12
2016,5,George RussellRUS,Mercedes,58,10
2016,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2016,7,Pierre GaslyGAS,Alpine Renault,58,6
2016,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2016,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2016,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2016,11,Alexander AlbonALB,Williams Mercedes,57,0
2016,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2016,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2016,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2016,15,Jack DoohanDOO,Alpine Renault,57,0
2016,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2016,17,Liam LawsonLAW,RB Honda RBPT,55,0
2016,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2016,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2016,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
2017,1,Lando NorrisNOR,McLaren Mercedes,58,25
2017,2,Carlos SainzSAI,Ferrari,58,18
2017,3,Charles LeclercLEC,Ferrari,58,15
2017,4,Lewis HamiltonHAM,Mercedes,58,12
2017,5,George RussellRUS,Mercedes,58,10
2017,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2017,7,Pierre GaslyGAS,Alpine Renault,58,6
2017,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2017,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2017,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2017,11,Alexander AlbonALB,Williams Mercedes,57,0
2017,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2017,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2017,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
